Cr,Co,Mo,W,Ta,Re,Al,B,C,Hf,Ni,Nb,Ti,ÎÂ¶È,Ó¦Á¦,shouming£¨h£©,suxing£¨%£©
6.7,7.1,4.8,1.35,5.9,6.3,2.8,0.004,0.04,0.1,64.906,0,0,1100,130,51.43,20
6.7,7.1,4.8,1.35,5.9,6.3,2.8,0.004,0.04,0.1,64.906,0,0,1100,130,62.07,27
6.7,7.1,4.8,1.35,6.2,6.5,3,0.005,0.05,0.15,64.145,0,0,1100,130,146.27,11
6.7,7.1,4.8,1.35,6.2,6.5,3,0.005,0.05,0.15,64.145,0,0,1100,130,86.6,9.9
6.7,7.1,4.8,1.35,6.3,6.6,3.2,0.006,0.06,0.2,63.684,0,0,1100,130,83.72,15
6.7,7.1,4.8,1.35,6.3,6.6,3.2,0.006,0.06,0.2,63.684,0,0,1100,130,93.38,7.4
6.7,7.5,5,1.5,6.2,6.3,2.8,0.006,0.06,0.2,63.734,0,0,1100,130,125.1,12
6.7,7.5,5,1.5,6.2,6.3,2.8,0.006,0.06,0.2,63.734,0,0,1100,130,66.25,12
6.7,7.5,5,1.5,6.3,6.5,3,0.004,0.04,0.1,63.356,0,0,1100,130,149.4,17
6.7,7.5,5,1.5,6.3,6.5,3,0.004,0.04,0.1,63.356,0,0,1100,130,153.68,14
6.7,7.5,1.5,5,6.6,3.2,5.9,0.005,0.05,0.15,63.395,0,0,1100,130,81.42,14
6.7,7.5,1.5,5,6.6,3.2,5.9,0.005,0.05,0.15,63.395,0,0,1100,130,41.15,19
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1100,130,110.32,10
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1100,130,127.82,16
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1100,130,35.33,27
6.7,7.9,1.65,5.2,6.3,2.8,5.9,0.006,0.06,0.2,63.284,0,0,1100,130,41.47,31
